code,school_rating_mean_1500,school_rating_std_1500,school_count_1500,school_rating_mean_1000,school_rating_std_1000,school_count_1000,school_rating_mean_500,school_rating_std_500,school_count_500,school_min
SW2 5JX,3.1440677966101696,2.0253795886408534,59,2.311111111111111,2.1101099740449794,27,1.2666666666666666,1.9714630776828326,6,0.17250263443892686
SW2 5JY,3.165,2.01467707804838,60,2.2615384615384615,2.1358046583106653,26,1.911111111111111,2.300784890230095,9,0.19046424309475293
SW2 5JZ,3.1203389830508472,2.007295286166914,59,2.2538461538461543,2.1288928144424313,26,2.272727272727273,2.2636655711879836,11,0.26644932323252507
SW2 5LA,3.0339285714285715,2.022804244850948,56,2.1625,2.185488205333576,24,2.5,2.2499382707581606,10,0.30456084990956656
SW2 5LB,3.1516666666666664,2.004950793315342,60,2.2538461538461543,2.1288928144424313,26,2.272727272727273,2.2636655711879836,11,0.24340853328619041
SW2 5LE,3.1491525423728817,2.0264945852174976,59,2.3423076923076924,2.194934728309355,26,2.272727272727273,2.2636655711879836,11,0.20999673251072914
SW2 5LF,3.232203389830509,1.9953774751320044,59,2.35,2.1898977542143476,24,2.272727272727273,2.2636655711879836,11,0.18853244092023547
SW2 5LL,2.9410714285714286,2.0361083008983125,56,3.0518518518518514,2.0142512199842346,27,3.1999999999999997,2.778488797889961,3,0.39714801578004616
SW2 5LN,3.207142857142857,1.9639345612924481,56,3.2148148148148152,2.0435082397499467,27,3.016666666666667,2.3853022170506333,6,0.17000079168683035
SW2 5LP,3.239622641509434,1.96432995256765,53,3.1846153846153844,2.0778243058915846,26,2.85,2.3628372775119324,6,0.2135911550658664
SW2 5LR,3.2500000000000004,1.9472040914051372,54,3.2148148148148152,2.0435082397499467,27,3.15,2.4525496936861444,6,0.1617703791150005
SW2 5LS,3.2500000000000004,1.9472040914051372,54,3.2148148148148152,2.0435082397499467,27,3.15,2.4525496936861444,6,0.15101257696164888
SW2 5LT,3.2500000000000004,1.9472040914051372,54,3.1846153846153844,2.0778243058915846,26,3.15,2.4525496936861444,6,0.16609546477028014
SW2 5LU,3.2169811320754715,1.9505162875758544,53,3.312,2.0143898993657277,25,2.9,2.6551836094703507,5,0.14677099492971207
SW2 5LW,3.17962962962963,1.9950296379913788,54,3.2148148148148152,2.0435082397499467,27,2.85,2.3628372775119324,6,0.21486537747106255
SW2 5LX,3.2500000000000004,1.9472040914051372,54,3.1846153846153844,2.0778243058915846,26,2.9,2.6551836094703507,5,0.10379364748105904
SW2 5NA,3.2500000000000004,1.9472040914051372,54,3.2148148148148152,2.0435082397499467,27,3.15,2.4525496936861444,6,0.10969543763309143
SW2 5NB,3.3226415094339625,1.921001492554776,53,3.2296296296296303,2.055352265299779,27,3.15,2.4525496936861444,6,0.0644189910223991
SW2 5ND,3.1843137254901954,1.9844770141293757,51,3.4074074074074074,1.9687805530573654,27,2.375,2.75,4,0.032096015006942744
SW2 5NE,3.2301886792452827,1.9603360098227645,53,3.278571428571429,2.0334894553646854,28,3.15,2.4525496936861444,6,0.0852768669867307
SW2 5NF,3.3226415094339625,1.921001492554776,53,3.2296296296296303,2.055352265299779,27,3.2285714285714286,2.248491557848124,7,0.11694458130956839
SW2 5NH,3.1843137254901954,1.9844770141293757,51,3.4074074074074074,1.9687805530573654,27,2.9,2.6551836094703507,5,0.06899512514776993
SW2 5NJ,3.3226415094339625,1.921001492554776,53,3.4000000000000004,1.9726462767899706,31,2.9,2.6551836094703507,5,0.07040305287071372
SW2 5NP,3.3226415094339625,1.921001492554776,53,3.309677419354839,2.0630648460821064,31,3.6399999999999997,2.103092960380021,5,0.07344584939357927
