code,hospital_rating_mean_1500,hospital_rating_std_1500,hospital_count_1500,hospital_rating_mean_1000,hospital_rating_std_1000,hospital_count_1000,hospital_rating_mean_500,hospital_rating_std_500,hospital_count_500,hospital_min
SW4 6QA,2.1818181818181817,1.84922588226435,11,2.25,1.9668684319423677,8,2.225,2.5773047937719746,4,0.3864052810682301
SW4 6QB,2.1533333333333333,1.9082028443637995,15,1.885714285714286,1.7966900784763182,7,0.0,0.0,0,0.5860926279289185
SW4 6QD,1.9999999999999998,1.872285914451782,12,2.411111111111111,1.9022647321314432,9,2.225,2.5773047937719746,4,0.36984360578764125
SW4 6QE,1.9999999999999998,1.872285914451782,12,2.25,1.9668684319423677,8,2.225,2.5773047937719746,4,0.35306428185085137
SW4 6QF,1.9999999999999998,1.872285914451782,12,2.25,1.9668684319423677,8,2.225,2.5773047937719746,4,0.32366292521437356
SW4 6QG,1.9999999999999998,1.872285914451782,12,2.25,1.9668684319423677,8,2.225,2.5773047937719746,4,0.3377440309104699
SW4 6QH,1.9999999999999998,1.872285914451782,12,2.25,1.9668684319423677,8,2.225,2.5773047937719746,4,0.2513789358344653
SW4 6QJ,2.1818181818181817,1.84922588226435,11,2.25,1.9668684319423677,8,2.966666666666667,2.5813433195399123,3,0.20106321789470624
SW4 6QL,2.1818181818181817,1.84922588226435,11,2.411111111111111,1.9022647321314432,9,2.966666666666667,2.5813433195399123,3,0.22592041799510745
SW4 6QN,2.0307692307692307,1.7960069670357701,13,2.411111111111111,1.9022647321314432,9,2.966666666666667,2.5813433195399123,3,0.19186648706694684
SW4 6QP,2.1818181818181817,1.84922588226435,11,2.185714285714286,2.1153633032559456,7,2.225,2.5773047937719746,4,0.33387590877596884
SW4 6QQ,1.9999999999999998,1.872285914451782,12,2.25,1.9668684319423677,8,2.225,2.5773047937719746,4,0.27583264892846737
SW4 6QR,2.1818181818181817,1.84922588226435,11,2.411111111111111,1.9022647321314432,9,2.966666666666667,2.5813433195399123,3,0.28743247323106674
SW4 6QS,2.1818181818181817,1.84922588226435,11,2.411111111111111,1.9022647321314432,9,2.966666666666667,2.5813433195399123,3,0.2219591669650026
SW4 6QT,2.1818181818181817,1.84922588226435,11,2.411111111111111,1.9022647321314432,9,2.966666666666667,2.5813433195399123,3,0.16963332398725034
SW4 6QU,2.1818181818181817,1.84922588226435,11,2.411111111111111,1.9022647321314432,9,2.966666666666667,2.5813433195399123,3,0.2325429308145509
SW4 6QW,2.1818181818181817,1.84922588226435,11,2.411111111111111,1.9022647321314432,9,2.966666666666667,2.5813433195399123,3,0.21476153862485298
SW4 6QX,2.1818181818181817,1.84922588226435,11,2.411111111111111,1.9022647321314432,9,2.966666666666667,2.5813433195399123,3,0.30103893409212723
SW4 6QY,2.0,1.872285914451782,12,2.411111111111111,1.9022647321314432,9,2.966666666666667,2.5813433195399123,3,0.23095933006711858
SW4 6QZ,2.0,1.872285914451782,12,2.411111111111111,1.9022647321314432,9,2.966666666666667,2.5813433195399123,3,0.23095933006711858
